filename,I0_mean_orig,I0_mean_filt,I0_std_orig,I0_std_filt,tau_mean_orig,tau_mean_filt,tau_std_orig,tau_std_filt,B_mean_orig,B_mean_filt,B_std_orig,B_std_filt,residuals_std_mean_orig,residuals_std_mean_filt,residuals_std_std_orig,residuals_std_std_filt
processed_data_batch_70.npz,1.416771,1.416769,0.058616,0.058615,139.535324,139.535453,0.298195,0.298233,0.023312,0.023312,0.000091,0.000091,0.003295,0.002779,0.000063,0.000075
processed_data_batch_71.npz,1.423129,1.423126,0.061299,0.061301,139.523308,139.523751,0.621592,0.624429,0.023236,0.023236,0.000145,0.000146,0.003335,0.002815,0.000240,0.000253
processed_data_batch_72.npz,1.430022,1.430021,0.046093,0.046093,139.539312,139.539465,0.361392,0.361372,0.023241,0.023241,0.000100,0.000100,0.003303,0.002787,0.000058,0.000067
processed_data_batch_73.npz,1.428890,1.428776,0.065696,0.065668,139.363089,139.387129,1.711891,1.461883,0.023302,0.023288,0.000388,0.000241,0.003444,0.002928,0.001137,0.001364
processed_data_batch_74.npz,1.426147,1.426146,0.057251,0.057251,139.552860,139.553011,0.340917,0.340929,0.023324,0.023324,0.000085,0.000085,0.003312,0.002791,0.000068,0.000070
processed_data_batch_75.npz,1.413086,1.412953,0.073405,0.073520,139.515854,139.551732,0.531698,0.567899,0.023381,0.023361,0.000175,0.000226,0.003371,0.002875,0.000377,0.000569
processed_data_batch_76.npz,1.427530,1.427529,0.049120,0.049120,139.527982,139.528113,0.303618,0.303642,0.023475,0.023475,0.000109,0.000109,0.003313,0.002781,0.000059,0.000060
processed_data_batch_77.npz,1.426778,1.426553,0.054699,0.054702,139.490150,139.546853,0.941626,0.956453,0.023430,0.023397,0.000227,0.000429,0.003369,0.002879,0.000474,0.000637
processed_data_batch_78.npz,1.430823,1.430822,0.047312,0.047312,139.569124,139.569257,0.317254,0.317267,0.023473,0.023472,0.000089,0.000089,0.003311,0.002779,0.000058,0.000049
processed_data_batch_79.npz,1.425141,1.425045,0.053137,0.053120,139.616686,139.641505,0.605950,0.632037,0.023457,0.023442,0.000164,0.000275,0.003359,0.002831,0.000425,0.000456
processed_data_batch_80.npz,1.431029,1.431019,0.044706,0.044728,139.609545,139.612105,0.510250,0.532838,0.023455,0.023454,0.000092,0.000093,0.003327,0.002784,0.000194,0.000197
processed_data_batch_81.npz,1.430050,1.429967,0.057956,0.057989,139.623590,139.645309,0.337997,0.504905,0.023487,0.023474,0.000156,0.000110,0.003343,0.002803,0.000228,0.000401
processed_data_batch_82.npz,1.422609,1.422527,0.050485,0.050441,139.637634,139.657825,0.313552,0.305600,0.023427,0.023416,0.000211,0.000349,0.003344,0.002799,0.000287,0.000353
processed_data_batch_83.npz,1.434619,1.434618,0.046238,0.046238,139.698921,139.700100,1.404617,1.417691,0.023446,0.023445,0.000225,0.000235,0.003386,0.002840,0.000835,0.000832
processed_data_batch_84.npz,1.427723,1.427649,0.064108,0.064118,139.481054,139.499373,0.788318,0.804022,0.023466,0.023455,0.000135,0.000135,0.003367,0.002845,0.000429,0.000568
processed_data_batch_85.npz,1.419931,1.419866,0.059360,0.059322,139.626641,139.645783,1.145652,1.371987,0.023644,0.023632,0.000310,0.000445,0.003366,0.002812,0.000657,0.000656
processed_data_batch_86.npz,1.431655,1.431653,0.048734,0.048734,139.486807,139.487000,0.314344,0.314315,0.023941,0.023941,0.000109,0.000109,0.003320,0.002773,0.000061,0.000047
