filename,signals_in_file,signals_fitted,signals_passed_qc,signals_skipped_qc,signals_failed_to_fit,B_mean_after_qc,B_mean_before_qc,B_std_after_qc,B_std_before_qc,I0_mean_after_qc,I0_mean_before_qc,I0_std_after_qc,I0_std_before_qc,residuals_std_mean_after_qc,residuals_std_mean_before_qc,residuals_std_std_after_qc,residuals_std_std_before_qc,tau_mean_after_qc,tau_mean_before_qc,tau_std_after_qc,tau_std_before_qc
processed_data_batch_46.npz,150,150,76,74,0,0.022777,0.022780,0.000082,0.000088,1.431880,1.434417,0.063609,0.056106,0.003322,0.003392,0.000079,0.000685,138.010149,137.975597,0.274649,0.501307
processed_data_batch_47.npz,150,150,83,67,0,0.022817,0.022811,0.000079,0.000073,1.433105,1.430459,0.061596,0.056648,0.003305,0.003301,0.000079,0.000072,135.919441,135.994474,0.360131,0.360157
processed_data_batch_48.npz,150,150,74,76,0,0.022786,0.022780,0.000069,0.000067,1.370322,1.363828,0.049011,0.052992,0.003239,0.003238,0.000059,0.000062,122.045895,121.831803,2.038677,1.997892
processed_data_batch_49.npz,150,150,30,120,0,0.022728,0.022722,0.000060,0.000069,1.001830,0.995137,0.040021,0.048430,0.003027,0.003038,0.000052,0.000103,69.069527,69.007654,3.315344,3.752245
processed_data_batch_50.npz,150,150,0,150,0,,0.022634,,0.000058,,0.298955,,0.036628,,0.002899,,0.000060,,26.382480,,1.514512
processed_data_batch_51.npz,150,150,0,150,0,,0.022637,,0.000064,,0.047747,,0.005398,,0.002874,,0.000057,,13.893429,,0.486634
processed_data_batch_52.npz,150,150,0,150,0,,0.022665,,0.000063,,0.044452,,0.004709,,0.002889,,0.000058,,13.700026,,0.462088
processed_data_batch_53.npz,150,150,0,150,0,,0.022668,,0.000065,,0.263741,,0.036154,,0.002895,,0.000059,,24.961368,,1.455353
processed_data_batch_54.npz,150,150,18,132,0,0.022768,0.022744,0.000073,0.000068,0.962544,0.958001,0.061317,0.054604,0.003051,0.003055,0.000063,0.000237,68.281230,66.201230,2.023875,3.825066
processed_data_batch_55.npz,150,150,67,83,0,0.022862,0.022860,0.000073,0.000080,1.355380,1.358355,0.051771,0.049928,0.003238,0.003235,0.000063,0.000064,120.855160,120.783399,2.306736,2.478893
processed_data_batch_56.npz,150,150,74,76,0,0.022866,0.022870,0.000081,0.000080,1.426626,1.428467,0.049711,0.047429,0.003313,0.003335,0.000083,0.000259,135.987350,136.008997,0.372828,0.401875
processed_data_batch_57.npz,150,150,69,81,0,0.022883,0.022880,0.000076,0.000077,1.418123,1.417857,0.059123,0.064324,0.003307,0.003304,0.000066,0.000065,138.041646,138.044216,0.265311,0.262564
processed_data_batch_58.npz,150,150,83,67,0,0.022919,0.022917,0.000079,0.000081,1.434438,1.430932,0.043047,0.057462,0.003316,0.003308,0.000089,0.000083,138.604082,138.605488,0.338826,0.330080
processed_data_batch_59.npz,150,150,81,69,0,0.022838,0.022834,0.000076,0.000075,1.437376,1.437250,0.038255,0.046112,0.003316,0.003315,0.000061,0.000060,138.976073,138.973454,0.269261,0.242010
processed_data_batch_60.npz,150,150,90,60,0,0.022828,0.022831,0.000083,0.000087,1.438542,1.436431,0.049094,0.062158,0.003315,0.003399,0.000089,0.000671,139.140265,139.232591,0.306317,0.932970
processed_data_batch_61.npz,150,150,82,68,0,0.022862,0.022868,0.000084,0.000083,1.427069,1.435579,0.066526,0.055211,0.003309,0.003308,0.000057,0.000063,139.344870,139.336877,0.278962,0.280927
processed_data_batch_62.npz,150,150,67,83,0,0.022866,0.022867,0.000082,0.000091,1.421781,1.427469,0.066746,0.059997,0.003327,0.003404,0.000074,0.000671,139.423620,139.411839,0.286517,0.962745
processed_data_batch_63.npz,150,150,89,61,0,0.022908,0.022917,0.000073,0.000080,1.435094,1.427330,0.046504,0.072406,0.003315,0.003332,0.000060,0.000217,139.489928,139.435508,0.270886,0.517798
processed_data_batch_64.npz,150,150,88,62,0,0.022926,0.022925,0.000098,0.000107,1.425267,1.422711,0.060532,0.065198,0.003318,0.003419,0.000143,0.000990,139.479191,139.575041,0.387264,1.088669
processed_data_batch_65.npz,150,150,87,63,0,0.022903,0.022906,0.000085,0.000081,1.426548,1.430240,0.049306,0.046895,0.003320,0.003316,0.000064,0.000063,139.524171,139.543990,0.263252,0.269919
processed_data_batch_66.npz,150,150,86,64,0,0.022927,0.022924,0.000102,0.000097,1.430016,1.428427,0.044786,0.055224,0.003359,0.003386,0.000264,0.000581,139.604039,139.602237,0.483892,0.570267
processed_data_batch_67.npz,150,150,89,61,0,0.022926,0.022925,0.000089,0.000109,1.425784,1.431146,0.070676,0.061280,0.003305,0.003374,0.000067,0.000671,139.674805,139.565714,0.300279,1.042484
processed_data_batch_68.npz,150,150,92,58,0,0.022915,0.022910,0.000084,0.000120,1.426162,1.418628,0.064749,0.073729,0.003304,0.003420,0.000063,0.001423,139.616581,139.649713,0.249256,0.457612
processed_data_batch_69.npz,150,150,69,81,0,0.022903,0.022908,0.000079,0.000077,1.423762,1.422287,0.053183,0.065101,0.003316,0.003317,0.000071,0.000104,139.681017,139.658950,0.291908,0.302960
processed_data_batch_70.npz,150,150,86,64,0,0.022958,0.022953,0.000087,0.000082,1.417677,1.416321,0.058489,0.058599,0.003303,0.003303,0.000066,0.000064,139.726347,139.714022,0.232848,0.231225
processed_data_batch_71.npz,150,150,81,69,0,0.022883,0.022875,0.000099,0.000100,1.420409,1.422721,0.071794,0.061178,0.003331,0.003345,0.000087,0.000253,139.647129,139.694124,0.306309,0.484555
processed_data_batch_72.npz,150,150,78,72,0,0.022881,0.022879,0.000077,0.000081,1.433709,1.429574,0.044238,0.046043,0.003317,0.003311,0.000059,0.000058,139.729379,139.716640,0.289070,0.286277
processed_data_batch_73.npz,150,150,78,72,0,0.022898,0.022908,0.000084,0.000117,1.423553,1.427859,0.079712,0.065541,0.003329,0.003475,0.000079,0.001370,139.708135,139.621427,0.231520,1.009062
processed_data_batch_74.npz,150,150,82,68,0,0.022964,0.022962,0.000069,0.000073,1.427572,1.425679,0.050367,0.057243,0.003323,0.003320,0.000063,0.000069,139.736715,139.733473,0.249688,0.273330
processed_data_batch_75.npz,150,150,73,77,0,0.023037,0.023029,0.000098,0.000100,1.410489,1.412781,0.077794,0.073198,0.003329,0.003389,0.000107,0.000415,139.679131,139.667779,0.395336,0.652566
processed_data_batch_76.npz,150,150,78,72,0,0.023115,0.023112,0.000084,0.000093,1.433079,1.427056,0.044881,0.049119,0.003323,0.003321,0.000060,0.000061,139.695404,139.709447,0.234751,0.238756
processed_data_batch_77.npz,150,150,84,66,0,0.023081,0.023082,0.000102,0.000107,1.430164,1.426474,0.054431,0.054910,0.003332,0.003394,0.000192,0.000537,139.787398,139.639691,0.380823,0.989398
processed_data_batch_78.npz,150,150,77,73,0,0.023107,0.023110,0.000071,0.000072,1.426952,1.430337,0.050024,0.047279,0.003314,0.003319,0.000065,0.000059,139.760729,139.752322,0.219637,0.246226
processed_data_batch_79.npz,150,150,78,72,0,0.023110,0.023095,0.000092,0.000093,1.431106,1.424728,0.047701,0.053364,0.003316,0.003375,0.000056,0.000484,139.758778,139.791826,0.270757,0.873193
